experiment,rmse_after,tau_half,std
baseline_baseline,16.63113899459855,,
fixedmean_mlp,6.422049904902758,16.0,1.927542750806839
fixedmean_gru,6.991271191657058,20.0,1.9758433188114315
fixedmean_lstm,7.694488352300051,20.0,1.861642641049854
resample_mlp,5.875570005358925,4.0,2.334426232979031
resample_gru,5.863659474061242,4.0,2.3299538933347845
resample_lstm,5.867790085327001,4.0,2.33456058799831
